name,position,debut,last
Isaako Aaitui,Nose Tackle,2013,2013
Israel Abanikanda,Running back,2023,2023
Joe Abbey,End,1948,1949
Fay Abbott,Blocking Back,1921,1929
Vince Abbott,Kicker,1987,1988
Jared Abbrederis,Wide Receiver,2015,2017
Duke Abbruzzi,Halfback,1946,1946
Mehdi Abdesmad,Defensive End,2016,2016
Jabbar,Running back,1996,2000
Quddus,Safety,2011,2016
Ameer Abdullah,Running back,2015,2024
Hamza Abdullah,Defensive Back,2005,2011
Husain Abdullah,Defensive Back,2008,2015
Khalid Abdullah,Linebacker,2003,2003
Rabih Abdullah,Running back,1999,2004
Rahim Abdullah,Linebacker,1999,2000
Yasir Abdullah,Linebacker,2023,2024
Fred Abel,Blocking Back,1926,1926
Bud Abell,Linebacker,1966,1968
Walter Abercrombie,Running back,1982,1988
Micah Abernathy,Safety,2022,2024
Cliff Aberson,Tailback,1946,1946
Victor Abiamiri,Defensive End,2007,2009
Oday Aboushi,Offensive Tackle,2014,2022
Clifton Abraham,Defensive Back,1995,1997
Donnie Abraham,Defensive Back,1996,2004
John Abraham,Defensive End,2000,2014
Robert Abraham,Linebacker,1982,1987
Johnathan Abram,Safety,2019,2024
Danny Abramowicz,End,1967,1974
Sid Abramowitz,Tackle,1983,1987
Bobby Abrams,Outside Linebacker,1990,1995
Delrick Abrams,Defensive Back,2020,2020
Kevin Abrams,Defensive Back,1997,1999
Nate Abrams,End,1921,1921
Draine,Defensive Back,2024,2024
George Abramson,Guard,1925,1925
Dick Abrell,Blocking Back,1920,1920
Ray Abruzzese,Back,1962,1966
Frank Abruzzino,Blocking Back,1931,1933
Dick Absher,Linebacker,1967,1972
Von Achane,Running back,2023,2024
Steve Ache,Linebacker,1987,1987
George Achica,Defensive Tackle,1985,1985
Sneeze Achiu,Wingback,1927,1928
Emmanuel Acho,Outside Linebacker,2013,2014
Sam Acho,Outside Linebacker,2011,2019
Bill Acker,Nose Tackle,1980,1987
Kenneth Acker,Cornerback,2015,2017
Rick Ackerman,Nose Tackle,1982,1987
Tom Ackerman,Guard,1996,2003
Ron Acks,Linebacker,1968,1976
Fred Acorn,Defensive Back,1984,1984
Ed Adamchik,Center,1965,1965
Mike Adamle,Running back,1971,1976
Tony Adamle,Linebacker,1947,1954
Andrew Adams,Free Safety,2016,2023
Anthony Adams,Defensive Tackle,2003,2011
Bill Adams,Guard,1972,1978
Blue Adams,Defensive Back,2003,2007
Bob Adams,Tight End,1969,1976
Brent Adams,Tackle,1975,1977
Charlie Adams,Wide Receiver,2003,2005
Chet Adams,Tackle,1939,1950
Curtis Adams,Running back,1985,1988
Darvin Adams,Wide Receiver,2011,2011
Davante Adams,Wide Receiver,2014,2024
David Adams,Running back,1987,1987
Doug Adams,Linebacker,1971,1974
Earnest Adams,Linebacker,1987,1987
Flozell Adams,Tackle,1998,2010
Gaines Adams,Defensive End,2007,2009
George Adams,Running back,1985,1991
Henry Adams,Center,1939,1939
