Date,DOW,WT,LT,WTS,LTS,Type,Season
2022-09-08,Thu,Buffalo Bills,Los Angeles Rams,31,10,Regular Season,2022
2022-09-11,Sun,New Orleans Saints,Atlanta Falcons,27,26,Regular Season,2022
2022-09-11,Sun,Cleveland Browns,Carolina Panthers,26,24,Regular Season,2022
2022-09-11,Sun,Chicago Bears,San Francisco 49ers,19,10,Regular Season,2022
2022-09-11,Sun,Pittsburgh Steelers,Cincinnati Bengals,23,20,Regular Season,2022
2022-09-11,Sun,Houston Texans,Indianapolis Colts,20,20,Regular Season,2022
2022-09-11,Sun,Philadelphia Eagles,Detroit Lions,38,35,Regular Season,2022
2022-09-11,Sun,Washington Commanders,Jacksonville Jaguars,28,22,Regular Season,2022
2022-09-11,Sun,Miami Dolphins,New England Patriots,20,7,Regular Season,2022
2022-09-11,Sun,Baltimore Ravens,New York Jets,24,9,Regular Season,2022
2022-09-11,Sun,Kansas City Chiefs,Arizona Cardinals,44,21,Regular Season,2022
2022-09-11,Sun,Minnesota Vikings,Green Bay Packers,23,7,Regular Season,2022
2022-09-11,Sun,New York Giants,Tennessee Titans,21,20,Regular Season,2022
2022-09-11,Sun,Los Angeles Chargers,Las Vegas Raiders,24,19,Regular Season,2022
2022-09-11,Sun,Tampa Bay Buccaneers,Dallas Cowboys,19,3,Regular Season,2022
2022-09-12,Mon,Seattle Seahawks,Denver Broncos,17,16,Regular Season,2022
2022-09-15,Thu,Kansas City Chiefs,Los Angeles Chargers,27,24,Regular Season,2022
2022-09-18,Sun,New York Giants,Carolina Panthers,19,16,Regular Season,2022
2022-09-18,Sun,New York Jets,Cleveland Browns,31,30,Regular Season,2022
2022-09-18,Sun,Jacksonville Jaguars,Indianapolis Colts,24,0,Regular Season,2022
2022-09-18,Sun,Detroit Lions,Washington Commanders,36,27,Regular Season,2022
2022-09-18,Sun,Miami Dolphins,Baltimore Ravens,42,38,Regular Season,2022
2022-09-18,Sun,Tampa Bay Buccaneers,New Orleans Saints,20,10,Regular Season,2022
2022-09-18,Sun,New England Patriots,Pittsburgh Steelers,17,14,Regular Season,2022
2022-09-18,Sun,Los Angeles Rams,Atlanta Falcons,31,27,Regular Season,2022
2022-09-18,Sun,San Francisco 49ers,Seattle Seahawks,27,7,Regular Season,2022
2022-09-18,Sun,Dallas Cowboys,Cincinnati Bengals,20,17,Regular Season,2022
2022-09-18,Sun,Arizona Cardinals,Las Vegas Raiders,29,23,Regular Season,2022
2022-09-18,Sun,Denver Broncos,Houston Texans,16,9,Regular Season,2022
2022-09-18,Sun,Green Bay Packers,Chicago Bears,27,10,Regular Season,2022
2022-09-19,Mon,Buffalo Bills,Tennessee Titans,41,7,Regular Season,2022
2022-09-19,Mon,Philadelphia Eagles,Minnesota Vikings,24,7,Regular Season,2022
2022-09-22,Thu,Cleveland Browns,Pittsburgh Steelers,29,17,Regular Season,2022
2022-09-25,Sun,Miami Dolphins,Buffalo Bills,21,19,Regular Season,2022
2022-09-25,Sun,Carolina Panthers,New Orleans Saints,22,14,Regular Season,2022
2022-09-25,Sun,Chicago Bears,Houston Texans,23,20,Regular Season,2022
2022-09-25,Sun,Cincinnati Bengals,New York Jets,27,12,Regular Season,2022
2022-09-25,Sun,Indianapolis Colts,Kansas City Chiefs,20,17,Regular Season,2022
2022-09-25,Sun,Minnesota Vikings,Detroit Lions,28,24,Regular Season,2022
2022-09-25,Sun,Baltimore Ravens,New England Patriots,37,26,Regular Season,2022
2022-09-25,Sun,Tennessee Titans,Las Vegas Raiders,24,22,Regular Season,2022
2022-09-25,Sun,Philadelphia Eagles,Washington Commanders,24,8,Regular Season,2022
2022-09-25,Sun,Jacksonville Jaguars,Los Angeles Chargers,38,10,Regular Season,2022
2022-09-25,Sun,Atlanta Falcons,Seattle Seahawks,27,23,Regular Season,2022
2022-09-25,Sun,Los Angeles Rams,Arizona Cardinals,20,12,Regular Season,2022
2022-09-25,Sun,Green Bay Packers,Tampa Bay Buccaneers,14,12,Regular Season,2022
2022-09-25,Sun,Denver Broncos,San Francisco 49ers,11,10,Regular Season,2022
2022-09-26,Mon,Dallas Cowboys,New York Giants,23,16,Regular Season,2022
2022-09-29,Thu,Cincinnati Bengals,Miami Dolphins,27,15,Regular Season,2022
2022-10-02,Sun,Minnesota Vikings,New Orleans Saints,28,25,Regular Season,2022
2022-10-02,Sun,Atlanta Falcons,Cleveland Browns,23,20,Regular Season,2022
2022-10-02,Sun,Buffalo Bills,Baltimore Ravens,23,20,Regular Season,2022
2022-10-02,Sun,New York Giants,Chicago Bears,20,12,Regular Season,2022
2022-10-02,Sun,Tennessee Titans,Indianapolis Colts,24,17,Regular Season,2022
2022-10-02,Sun,Dallas Cowboys,Washington Commanders,25,10,Regular Season,2022
2022-10-02,Sun,Seattle Seahawks,Detroit Lions,48,45,Regular Season,2022
2022-10-02,Sun,Los Angeles Chargers,Houston Texans,34,24,Regular Season,2022
2022-10-02,Sun,Philadelphia Eagles,Jacksonville Jaguars,29,21,Regular Season,2022
2022-10-02,Sun,New York Jets,Pittsburgh Steelers,24,20,Regular Season,2022
