player,player_id,team,season,age,attempts,completion_pct,yards_per_attempt,td_rate,int_rate,passer_rating,any_a,archetype,cluster
Aaron Rodgers,RodgAa00,GNB,2021,38.0,531.0,68.9,7.7,7.0,0.8,111.9,8.0,Elite Quarterbacks,2
Dak Prescott,PresDa01,DAL,2021,28.0,596.0,68.8,7.5,6.2,1.7,104.2,7.34,Elite Quarterbacks,2
Jameis Winston,WinsJa00,NOR,2021,27.0,161.0,59.0,7.3,8.7,1.9,102.8,7.24,Elite Quarterbacks,2
Jimmy Garoppolo,GaroJi00,SFO,2021,30.0,441.0,68.3,8.6,4.5,2.7,98.7,7.38,Elite Quarterbacks,2
Joe Burrow,BurrJo01,CIN,2021,25.0,520.0,70.4,8.9,6.5,2.7,108.3,7.51,Elite Quarterbacks,2
Justin Herbert,HerbJu00,LAC,2021,23.0,672.0,65.9,7.5,5.7,2.2,97.7,6.95,Elite Quarterbacks,2
Kirk Cousins,CousKi00,MIN,2021,33.0,561.0,66.3,7.5,5.9,1.2,103.1,7.42,Elite Quarterbacks,2
Kyler Murray,MurrKy00,ARI,2021,24.0,481.0,69.2,7.9,5.0,2.1,100.6,6.9,Elite Quarterbacks,2
Matthew Stafford,StafMa00,LAR,2021,33.0,601.0,67.2,8.1,6.8,2.8,102.9,7.45,Elite Quarterbacks,2
Patrick Mahomes,MahoPa00,KAN,2021,26.0,658.0,66.3,7.4,5.6,2.0,98.5,7.07,Elite Quarterbacks,2
Russell Wilson,WilsRu00,SEA,2021,33.0,400.0,64.8,7.8,6.3,1.5,103.1,7.11,Elite Quarterbacks,2
Tom Brady,BradTo00,TAM,2021,44.0,719.0,67.5,7.4,6.0,1.7,102.1,7.41,Elite Quarterbacks,2
Andy Dalton,DaltAn00,CHI,2021,34.0,236.0,63.1,6.4,3.4,3.8,76.9,4.44,Struggling & Backups,1
Baker Mayfield,MayfBa00,CLE,2021,26.0,418.0,60.5,7.2,4.1,3.1,83.1,5.41,Struggling & Backups,1
Jacoby Brissett,BrisJa00,MIA,2021,29.0,225.0,62.7,5.7,2.2,1.8,78.1,4.39,Struggling & Backups,1
Justin Fields,FielJu00,CHI,2021,22.0,270.0,58.9,6.9,2.6,3.7,73.2,4.24,Struggling & Backups,1
Mike Glennon,GlenMi00,NYG,2021,32.0,167.0,53.9,4.7,2.4,6.0,49.7,2.0,Struggling & Backups,1
