player,team,age,contract_type,apy,total_value,fully_guaranteed,free_agency,att,cmp_pct,yds,td,int,rate,qbr,any_a,perf_pctl,cost_pctl,value_score
Aidan O'Connell,Raiders,27,Rookie-scale deal,1087345.0,4349380.0,509380.0,2027 UFA,243.0,63.4,1612.0,8.0,4.0,86.7,49.4,5.97,54.761904761904766,2.380952380952381,52.38095238095239
Bo Nix,Broncos,25,Rookie-scale deal,4653292.0,18613166.0,18613166.0,2028 UFA,567.0,66.3,3775.0,29.0,12.0,93.3,56.8,6.12,61.904761904761905,28.57142857142857,33.333333333333336
Jayden Daniels,Commanders,25,Rookie-scale deal,9436663.0,37746650.0,37746650.0,2028 UFA,480.0,69.0,3568.0,25.0,9.0,100.1,70.6,6.5,71.42857142857143,40.476190476190474,30.952380952380956
Baker Mayfield,Buccaneers,30,Veteran deal,33333333.0,100000000.0,40000000.0,2027 Void,570.0,71.4,4500.0,41.0,16.0,106.8,61.6,7.13,83.33333333333334,57.14285714285714,26.190476190476204
Cooper Rush,Ravens,32,Veteran deal,3100000.0,6200000.0,4000000.0,2027 Void,308.0,60.7,1844.0,12.0,5.0,83.8,41.0,5.5,40.476190476190474,14.285714285714285,26.19047619047619
Joe Flacco,Browns,40,Veteran deal,4250000.0,4250000.0,3000000.0,2026 Void,248.0,65.3,1761.0,12.0,7.0,90.5,53.4,5.88,50.0,26.190476190476193,23.809523809523807
Russell Wilson,Giants,37,Veteran deal,10500000.0,10500000.0,10000000.0,2026 UFA,336.0,63.7,2482.0,16.0,5.0,95.6,51.3,6.39,69.04761904761905,47.61904761904761,21.428571428571438
Lamar Jackson,Ravens,28,Veteran deal,52000000.0,260000000.0,135000000.0,2028 Void,474.0,66.7,4172.0,41.0,4.0,119.6,77.3,9.38,100.0,78.57142857142857,21.42857142857143
Sam Darnold,Seahawks,28,Veteran deal,33500000.0,100500000.0,37500000.0,2028 Void,545.0,66.2,4319.0,35.0,12.0,102.5,60.4,6.99,80.95238095238095,59.523809523809526,21.428571428571423
Mason Rudolph,Steelers,30,Veteran deal,3750000.0,7500000.0,3000000.0,2027 UFA,228.0,64.0,1530.0,9.0,9.0,80.1,55.5,5.16,33.33333333333333,19.047619047619047,14.285714285714281
Jared Goff,Lions,31,Veteran deal,53000000.0,212000000.0,113611832.0,2029 Void,539.0,72.4,4629.0,37.0,12.0,111.8,68.4,8.06,97.61904761904762,84.52380952380952,13.095238095238102
Jameis Winston,Giants,31,Veteran deal,4000000.0,8000000.0,5250000.0,2027 UFA,296.0,61.1,2121.0,13.0,12.0,80.6,55.6,5.35,35.714285714285715,22.61904761904762,13.095238095238095
Matthew Stafford,Rams,37,Veteran deal,40000000.0,80000000.0,40000000.0,2027 Void,517.0,65.8,3762.0,20.0,8.0,93.7,64.7,6.59,73.80952380952381,64.28571428571429,9.523809523809518
Gardner Minshew II,Chiefs,29,Veteran deal,1170000.0,1170000.0,0.0,2026 UFA,306.0,66.3,2013.0,9.0,10.0,81.0,38.1,4.71,15.476190476190476,7.142857142857142,8.333333333333334
Mac Jones,49ers,27,Veteran deal,3500000.0,7000000.0,4750000.0,2027 Void,262.0,65.3,1672.0,8.0,8.0,80.5,39.8,4.97,23.809523809523807,16.666666666666664,7.142857142857142
Brock Purdy,49ers,26,Veteran deal,53000000.0,265000000.0,100000000.0,2031 Void,455.0,65.9,3864.0,20.0,12.0,96.1,67.9,7.34,90.47619047619048,84.52380952380952,5.952380952380963
Justin Herbert,Chargers,27,Veteran deal,52500000.0,262500000.0,133738375.0,2030 UFA,504.0,65.9,3870.0,23.0,3.0,101.7,64.8,7.25,85.71428571428571,80.95238095238095,4.761904761904759
Spencer Rattler,Saints,25,Rookie-scale deal,1089120.0,4356480.0,336480.0,2028 UFA,228.0,57.0,1317.0,4.0,5.0,70.4,40.3,4.14,7.142857142857142,4.761904761904762,2.3809523809523805
Will Levis,Titans,26,Rookie-scale deal,2385541.0,9542162.0,8730957.0,2027 UFA,301.0,63.1,2091.0,13.0,12.0,81.4,27.8,4.61,11.904761904761903,9.523809523809524,2.3809523809523796
Jalen Hurts,Eagles,27,Veteran deal,51000000.0,255000000.0,110000000.0,2029 Void,361.0,68.7,2903.0,18.0,5.0,103.7,65.6,6.93,78.57142857142857,76.19047619047619,2.3809523809523796
C.J. Stroud,Texans,24,Rookie-scale deal,9069811.0,36279244.0,36279244.0,2027 UFA,532.0,63.2,3727.0,20.0,12.0,87.0,49.8,5.44,38.095238095238095,35.714285714285715,2.3809523809523796
Josh Allen,Bills,29,Veteran deal,55000000.0,330000000.0,147000000.0,2031 Void,483.0,63.6,3731.0,28.0,6.0,101.4,77.3,7.96,95.23809523809523,94.04761904761905,1.1904761904761756
Jordan Love,Packers,27,Veteran deal,55000000.0,220000000.0,100800000.0,2029 Void,425.0,63.1,3389.0,25.0,11.0,96.7,69.3,7.51,92.85714285714286,94.04761904761905,-1.1904761904761898
Andy Dalton,Panthers,38,Veteran deal,4000000.0,8000000.0,6000000.0,2027 Void,160.0,66.3,989.0,7.0,6.0,82.0,55.4,4.92,21.428571428571427,22.61904761904762,-1.1904761904761934
Drew Lock,Seahawks,29,Veteran deal,2500000.0,5000000.0,2250000.0,2027 UFA,181.0,59.1,1071.0,6.0,5.0,75.5,46.4,4.55,9.523809523809524,11.904761904761903,-2.3809523809523796
Kirk Cousins,Falcons,37,Veteran deal,45000000.0,180000000.0,90000000.0,2028 UFA,453.0,66.9,3508.0,18.0,16.0,88.6,50.4,6.13,64.28571428571429,67.85714285714286,-3.5714285714285694
