player,season,rank,comp_player,comp_season,similarity
Aaron Rodgers,2019,1,Baker Mayfield,2020,0.7265
Aaron Rodgers,2019,2,Joe Burrow,2020,0.69
Aaron Rodgers,2019,3,Baker Mayfield,2023,0.6778
Aaron Rodgers,2019,4,Justin Herbert,2023,0.5877
Aaron Rodgers,2019,5,Kirk Cousins,2021,0.5362
Aaron Rodgers,2020,1,Aaron Rodgers,2021,0.9302
Aaron Rodgers,2020,2,Dak Prescott,2023,0.8814
Aaron Rodgers,2020,3,Josh Allen,2020,0.8774
Aaron Rodgers,2020,4,Patrick Mahomes,2020,0.8421
Aaron Rodgers,2020,5,Kirk Cousins,2019,0.8207
Aaron Rodgers,2021,1,Aaron Rodgers,2020,0.9302
Aaron Rodgers,2021,2,Dak Prescott,2023,0.9027
Aaron Rodgers,2021,3,Kirk Cousins,2019,0.8734
Aaron Rodgers,2021,4,Kirk Cousins,2021,0.8363
Aaron Rodgers,2021,5,Kirk Cousins,2023,0.8008
Aaron Rodgers,2022,1,Sam Darnold,2019,0.7722
Aaron Rodgers,2022,2,Kirk Cousins,2022,0.7248
Aaron Rodgers,2022,3,Tua Tagovailoa,2020,0.6935
Aaron Rodgers,2022,4,Baker Mayfield,2023,0.5955
Aaron Rodgers,2022,5,Jared Goff,2021,0.5798
Matthew Stafford,2019,1,Tua Tagovailoa,2022,0.9413
Matthew Stafford,2019,2,Russell Wilson,2021,0.8306
Matthew Stafford,2019,3,Matthew Stafford,2020,0.8241
Matthew Stafford,2019,4,Dak Prescott,2019,0.7745
Matthew Stafford,2019,5,Russell Wilson,2019,0.7611
Matthew Stafford,2020,1,Matthew Stafford,2019,0.8241
Matthew Stafford,2020,2,Russell Wilson,2021,0.7907
Matthew Stafford,2020,3,Tua Tagovailoa,2022,0.7628
Matthew Stafford,2020,4,Russell Wilson,2019,0.638
Matthew Stafford,2020,5,Baker Mayfield,2023,0.6175
Matthew Stafford,2021,1,Kirk Cousins,2020,0.852
Matthew Stafford,2021,2,Tua Tagovailoa,2022,0.7654
Matthew Stafford,2021,3,Tua Tagovailoa,2023,0.6893
Matthew Stafford,2021,4,Joe Burrow,2021,0.6869
Matthew Stafford,2021,5,Josh Allen,2020,0.6427
Matthew Stafford,2022,1,Kirk Cousins,2022,0.8892
Matthew Stafford,2022,2,Daniel Jones,2023,0.7696
Matthew Stafford,2022,3,Jared Goff,2021,0.7663
Matthew Stafford,2022,4,Baker Mayfield,2022,0.6931
Matthew Stafford,2022,5,Joe Burrow,2023,0.6662
Matthew Stafford,2023,1,Jared Goff,2019,0.7473
Matthew Stafford,2023,2,Baker Mayfield,2020,0.5819
Matthew Stafford,2023,3,Derek Carr,2022,0.5441
Matthew Stafford,2023,4,Matthew Stafford,2020,0.5143
Matthew Stafford,2023,5,Geno Smith,2023,0.4985
Russell Wilson,2019,1,Russell Wilson,2021,0.8424
Russell Wilson,2019,2,Matthew Stafford,2019,0.7611
Russell Wilson,2019,3,Matthew Stafford,2020,0.638
Russell Wilson,2019,4,Tua Tagovailoa,2022,0.6184
Russell Wilson,2019,5,Lamar Jackson,2023,0.5803
Russell Wilson,2020,1,Kirk Cousins,2020,0.6732
Russell Wilson,2020,2,Joe Burrow,2021,0.6639
Russell Wilson,2020,3,Kyler Murray,2021,0.5839
Russell Wilson,2020,4,Josh Allen,2020,0.5816
Russell Wilson,2020,5,Lamar Jackson,2023,0.5508
Russell Wilson,2021,1,Russell Wilson,2019,0.8424
Russell Wilson,2021,2,Matthew Stafford,2019,0.8306
Russell Wilson,2021,3,Matthew Stafford,2020,0.7907
Russell Wilson,2021,4,Tua Tagovailoa,2022,0.6451
Russell Wilson,2021,5,Baker Mayfield,2023,0.6256
Russell Wilson,2022,1,Baker Mayfield,2021,0.8658
Russell Wilson,2022,2,Josh Allen,2019,0.7896
Russell Wilson,2022,3,Sam Darnold,2020,0.7786
Russell Wilson,2022,4,Daniel Jones,2020,0.7376
Russell Wilson,2022,5,Daniel Jones,2019,0.711
Russell Wilson,2023,1,Daniel Jones,2023,0.6349
Russell Wilson,2023,2,Daniel Jones,2022,0.6157
Russell Wilson,2023,3,Kyler Murray,2023,0.5167
Russell Wilson,2023,4,Daniel Jones,2019,0.5016
Russell Wilson,2023,5,Kyler Murray,2022,0.4912
Kirk Cousins,2019,1,Aaron Rodgers,2021,0.8734
Kirk Cousins,2019,2,Kirk Cousins,2023,0.8361
Kirk Cousins,2019,3,Dak Prescott,2023,0.8301
Kirk Cousins,2019,4,Aaron Rodgers,2020,0.8207
Kirk Cousins,2019,5,Dak Prescott,2021,0.806
Kirk Cousins,2020,1,Joe Burrow,2021,0.9307
