player_id,attempts,completions,yards,tds,ints,epa_per_db,cpoe,name,cmp_pct,ypa,rating,third_down_delta,clutch_att,clutch_cmp_pct,fourth_att,fourth_rate,season
00-0019596,810,544.0,5916.0,46.0,13.0,0.2397170560000925,1.2222789876247564,T.Brady,67.1604938271605,7.303703703703704,100.72530864197529,-9.533512844771124,66.0,59.09090909090909,12.0,50.0,2021
00-0022924,649,419.0,3955.0,24.0,10.0,0.04500412314948757,-2.2559709497727454,B.Roethlisberger,64.56086286594761,6.093990755007704,87.1822033898305,-4.923729999533521,44.0,59.09090909090909,14.0,35.714285714285715,2021
00-0023459,560,386.0,4340.0,37.0,4.0,0.32593506016746626,5.6508321474606324,Aa.Rodgers,68.92857142857143,7.75,110.86309523809523,-9.094278590201483,52.0,53.84615384615385,13.0,38.46153846153847,2021
00-0026143,560,375.0,3968.0,20.0,12.0,0.14427291669977071,1.7592363416928647,M.Ryan,66.96428571428571,7.085714285714285,90.38690476190476,-4.283154121863802,43.0,62.7906976744186,12.0,50.0,2021
00-0026498,741,502.0,6074.0,50.0,20.0,0.3188071146272392,1.15570116532992,M.Stafford,67.74628879892038,8.197031039136302,103.93893387314439,-4.3982619295727545,47.0,61.702127659574465,10.0,40.0,2021
00-0027973,236,149.0,1515.0,8.0,9.0,0.030335703519291917,-4.195212746769321,A.Dalton,63.13559322033898,6.419491525423729,76.85381355932202,1.2718023255813975,22.0,50.0,10.0,60.0,2021
00-0028118,150,91.0,966.0,5.0,5.0,0.027190296485661444,-3.625983806947867,Ty.Taylor,60.66666666666667,6.44,76.69444444444444,-8.44961240310078,13.0,61.53846153846154,,,2021
00-0029263,400,259.0,3113.0,25.0,6.0,0.1926725675670076,3.1963339471137586,R.Wilson,64.75,7.7825,103.05208333333333,-20.72911978396452,45.0,71.11111111111111,5.0,0.0,2021
00-0029604,561,372.0,4221.0,33.0,7.0,0.23133419188757323,1.3502727035481614,K.Cousins,66.31016042780749,7.524064171122995,103.1008615567439,-7.754256787850899,94.0,58.51063829787234,13.0,53.84615384615385,2021
00-0029701,555,372.0,3954.0,22.0,17.0,0.19233895578465104,2.2457266819850297,R.Tannehill,67.02702702702703,7.124324324324324,88.07432432432432,1.8277010947168009,43.0,67.44186046511628,10.0,30.0,2021
00-0030520,167,90.0,790.0,4.0,10.0,-0.33237085185918613,-7.878039428940067,M.Glennon,53.89221556886228,4.730538922155689,49.73802395209581,-8.717948717948723,,,5.0,60.0,2021
00-0031237,426,285.0,3052.0,18.0,7.0,0.24355884316118137,3.910554529708109,T.Bridgewater,66.90140845070422,7.164319248826291,94.92370892018779,-2.207278887120779,45.0,62.22222222222222,16.0,68.75,2021
00-0031280,680,457.0,5114.0,24.0,15.0,0.18136458363256366,1.5717612550808833,D.Carr,67.20588235294119,7.520588235294118,91.99754901960785,-10.24422380123287,82.0,57.3170731707317,11.0,54.54545454545454,2021
00-0031345,515,344.0,4345.0,22.0,15.0,0.2896420928604746,0.5945173103407205,J.Garoppolo,66.79611650485437,8.436893203883495,95.00404530744335,-5.423076923076927,66.0,63.63636363636363,5.0,60.0,2021
00-0031503,161,95.0,1170.0,14.0,3.0,0.27434066591316614,-3.137500136116751,J.Winston,59.006211180124225,7.267080745341615,102.75621118012424,-5.602536997885842,,,,,2021
00-0031800,494,321.0,3419.0,20.0,15.0,0.08184744567268881,0.2986248644689719,T.Heinicke,64.97975708502024,6.921052631578948,85.91430499325236,-15.95982142857143,59.0,69.49152542372882,18.0,38.88888888888889,2021
00-0032156,188,108.0,1154.0,11.0,3.0,0.07382994604425294,-4.721714087894985,T.Siemian,57.446808510638306,6.138297872340425,88.38652482269505,-1.2601927353595173,13.0,69.23076923076923,,,2021
00-0032950,516,322.0,3563.0,27.0,7.0,0.17395136161272753,-2.120752626621507,C.Wentz,62.4031007751938,6.905038759689923,94.64631782945737,-6.412442867862744,59.0,57.6271186440678,9.0,55.55555555555556,2021
00-0033077,639,433.0,4703.0,38.0,11.0,0.24313639588289987,1.544567619404344,D.Prescott,67.76212832550861,7.359937402190924,101.86815336463224,-6.448270365056594,57.0,68.42105263157895,15.0,53.333333333333336,2021
00-0033106,494,332.0,3245.0,19.0,8.0,0.09592612297774646,0.5529641658386786,J.Goff,67.20647773279353,6.568825910931174,91.53171390013496,-4.900207117303715,55.0,52.72727272727272,20.0,45.0,2021
00-0033119,225,141.0,1283.0,5.0,4.0,0.06987855961641706,-2.214608489093693,J.Brissett,62.66666666666667,5.702222222222222,78.06481481481482,-4.725822532402788,25.0,56.00000000000001,6.0,66.66666666666666,2021
