player_id,display_name,attempts,completions,passing_yards,passing_tds,interceptions,passer_rating,completion_pct,td_rate,int_rate,yards_per_attempt,cluster,archetype,clutch_attempts,clutch_completions,clutch_yards,clutch_tds,clutch_ints,clutch_cmp_pct,clutch_ypa,completion_pct_1,completion_pct_3,cmp_pct_delta,fourth_down_attempts,fourth_down_completions,fourth_down_conversions,fourth_down_conversion_rate
00-0019596,Tom Brady,2675,1749,18700.0,132,41.0,95.74014081722976,0.6538317757009345,0.049345794392523366,0.015327102803738318,6.990654205607477,1,Elite Quarterbacks,,,,,,,,,,,,,,
00-0020531,Drew Brees,768,556,5921.0,51,10.0,111.3240231990232,0.7239583333333334,0.06640625,0.013020833333333334,7.709635416666667,1,Elite Quarterbacks,,,,,,,,,,,,,,
00-0022803,Eli Manning,147,91,1042.0,6,5.0,82.63888888888889,0.6190476190476191,0.04081632653061224,0.034013605442176874,7.08843537414966,0,The League Core,,,,,,,,,,,,,,
00-0022924,Ben Roethlisberger,1213,789,7543.0,55,20.0,90.43308571661592,0.6504534212695795,0.04534212695795548,0.016488046166529265,6.218466611706512,0,The League Core,,,,,,,,,,,,,,
00-0022942,Philip Rivers,1134,759,8784.0,47,31.0,92.73967944583111,0.6693121693121693,0.04144620811287478,0.027336860670194002,7.746031746031746,1,Elite Quarterbacks,,,,,,,,,,,,,,
00-0023436,Alex Smith,252,168,1582.0,6,8.0,78.50529100529101,0.6666666666666666,0.023809523809523808,0.031746031746031744,6.277777777777778,0,The League Core,,,,,,,,,,,,,,
00-0023459,Aaron Rodgers,2168,1441,16111.0,137,25.0,104.97186901585847,0.6646678966789668,0.06319188191881919,0.011531365313653136,7.431273062730627,1,Elite Quarterbacks,,,,,,,,,,,,,,
00-0023682,Ryan Fitzpatrick,769,494,5620.0,33,21.0,90.5336052792575,0.6423927178153446,0.04291287386215865,0.027308192457737322,7.308192457737321,1,Elite Quarterbacks,,,,,,,,,,,,,,
00-0026143,Matt Ryan,2263,1499,16072.0,86,50.0,89.92344665359381,0.6623950508174989,0.03800265134776845,0.02209456473707468,7.102076889085285,1,Elite Quarterbacks,,,,,,,,,,,,,,
00-0026158,Joe Flacco,791,478,5353.0,30,19.0,82.77967080035953,0.6042983565107459,0.03792667509481669,0.02402022756005057,6.767383059418457,0,The League Core,,,,,,,,,,,,,,
00-0026498,Matthew Stafford,2244,1462,17521.0,120,51.0,97.04419104704672,0.6515151515151515,0.053475935828877004,0.022727272727272728,7.8079322638146165,1,Elite Quarterbacks,,,,,,,,,,,,,,
00-0027688,Colt McCoy,132,90,780.0,1,3.0,76.57828282828282,0.6818181818181818,0.007575757575757576,0.022727272727272728,5.909090909090909,0,The League Core,,,,,,,,,,,,,,
00-0027939,Cam Newton,494,311,3341.0,12,15.0,73.63833894064872,0.6295546558704453,0.024291497975708502,0.030364372469635626,6.7631578947368425,0,The League Core,,,,,,,,,,,,,,
00-0027973,Andy Dalton,1475,931,10050.0,56,40.0,84.41312444887656,0.6311864406779661,0.03796610169491525,0.02711864406779661,6.813559322033898,0,The League Core,,,,,,,,,,,,,,
00-0028118,Tyrod Taylor,330,207,2307.0,10,8.0,82.9189814814815,0.6272727272727273,0.030303030303030304,0.024242424242424242,6.990909090909091,0,The League Core,,,,,,,,,,,,,,
00-0028986,Case Keenum,247,160,1707.0,11,5.0,91.27024291497975,0.6477732793522267,0.044534412955465584,0.020242914979757085,6.910931174089069,1,Elite Quarterbacks,,,,,,,,,,,,,,
00-0029263,Russell Wilson,2404,1573,18029.0,138,43.0,99.37391193317949,0.6543261231281198,0.05740432612312812,0.01788685524126456,7.499584026622296,1,Elite Quarterbacks,,,,,,,,,,,,,,
00-0029567,Nick Foles,429,279,2588.0,13,10.0,82.6655982905983,0.6503496503496503,0.030303030303030304,0.023310023310023312,6.032634032634032,0,The League Core,,,,,,,,,,,,,,
00-0029604,Kirk Cousins,2475,1668,18967.0,141,45.0,102.34976629304026,0.673939393939394,0.05696969696969697,0.01818181818181818,7.663434343434344,1,Elite Quarterbacks,,,,,,,,,,,,,,
00-0029701,Ryan Tannehill,1853,1234,14447.0,96,40.0,97.81023444947542,0.6659471127900701,0.05180787911494873,0.021586616297895305,7.796546141392337,1,Elite Quarterbacks,,,,,,,,,,,,,,
00-0030520,Mike Glennon,346,201,1862.0,11,15.0,64.92371402446503,0.5809248554913294,0.031791907514450865,0.04335260115606936,5.381502890173411,2,Struggling & Backups,,,,,,,,,,,,,,
00-0030565,Geno Smith,1071,722,7906.0,50,20.0,96.50210969724998,0.6741363211951448,0.04668534080298786,0.018674136321195144,7.381886087768441,1,Elite Quarterbacks,,,,,,,,,,,,,,
00-0031237,Teddy Bridgewater,1114,758,8169.0,42,20.0,95.38776811728546,0.6804308797127468,0.03770197486535009,0.017953321364452424,7.333034111310592,1,Elite Quarterbacks,,,,,,,,,,,,,,
00-0031280,Derek Carr,2706,1817,20361.0,120,53.0,96.02871495469006,0.6714708056171471,0.04434589800443459,0.01958610495195861,7.524390243902439,1,Elite Quarterbacks,,,,,,,,,,,,,,
00-0031345,Jimmy Garoppolo,1534,1041,12526.0,77,43.0,94.76460149238106,0.6786179921773142,0.050195567144719684,0.02803129074315515,8.165580182529336,1,Elite Quarterbacks,,,,,,,,,,,,,,
00-0031503,Jameis Winston,902,548,7137.0,51,38.0,88.86060012744275,0.6075388026607539,0.0565410199556541,0.04212860310421286,7.912416851441241,1,Elite Quarterbacks,,,,,,,,,,,,,,
00-0031800,Taylor Heinicke,889,556,6168.0,37,25.0,83.39708859252202,0.625421822272216,0.04161979752530934,0.0281214848143982,6.938132733408324,0,The League Core,,,,,,,,,,,,,,
00-0032156,Trevor Siemian,341,194,1878.0,13,7.0,75.24582232420155,0.5689149560117303,0.03812316715542522,0.020527859237536656,5.507331378299121,0,The League Core,,,,,,,,,,,,,,
00-0032268,Marcus Mariota,460,279,3422.0,22,11.0,90.22309027777777,0.6065217391304348,0.04782608695652174,0.02391304347826087,7.439130434782609,1,Elite Quarterbacks,,,,,,,,,,,,,,
00-0032434,Brandon Allen,142,90,925.0,5,4.0,82.04225352112677,0.6338028169014085,0.035211267605633804,0.028169014084507043,6.514084507042254,0,The League Core,,,,,,,,,,,,,,
00-0032436,Jeff Driskel,105,62,685.0,4,4.0,75.29761904761904,0.5904761904761905,0.0380952380952381,0.0380952380952381,6.523809523809524,0,The League Core,,,,,,,,,,,,,,
00-0032950,Carson Wentz,1836,1133,11977.0,81,38.0,85.19584781238089,0.6171023965141612,0.04411764705882353,0.020697167755991286,6.523420479302832,0,The League Core,,,,,,,,,,,,,,
00-0033077,Dak Prescott,2398,1620,18583.0,135,49.0,100.10196485033197,0.6755629691409508,0.05629691409507923,0.02043369474562135,7.7493744787322765,1,Elite Quarterbacks,,,,,,,,,,,,,,
00-0033106,Jared Goff,2864,1885,20848.0,120,56.0,93.0535899369646,0.6581703910614525,0.04189944134078212,0.019553072625698324,7.279329608938547,1,Elite Quarterbacks,,,,,,,,,,,,,,
00-0033119,Jacoby Brissett,1041,649,6833.0,35,16.0,85.0015505356396,0.6234390009606148,0.03362151777137368,0.01536983669548511,6.56388088376561,0,The League Core,,,,,,,,,,,,,,
