passer_name,passer_player_id,attempts,completions,passing_yards,touchdowns,interceptions,gsis_id,position,completion_pct_1,completion_pct_3,cmp_pct_delta,clutch_attempts,clutch_completions,clutch_yards,clutch_tds,clutch_ints,clutch_cmp_pct,clutch_ypa,fourth_down_attempts,fourth_down_completions,fourth_down_conversions,fourth_down_conversion_rate,player_id,archetype,display_name
A.Dalton,00-0027973,58,34,361.0,2,0,00-0027973,QB,,,,,,,,,,,,,,,00-0027973,The League Core,A.Dalton
A.Richardson,00-0039164,84,50,577.0,3,1,00-0039164,QB,,,,,,,,,,,,,,,,,A.Richardson
B.Gabbert,00-0027948,35,18,185.0,0,3,00-0027948,QB,,,,,,,,,,,,,,,,,B.Gabbert
B.Hoyer,00-0026625,42,23,231.0,2,2,00-0026625,QB,,,,,,,,,,,,,,,,,B.Hoyer
B.Mayfield,00-0034855,643,412,4730.0,35,12,00-0034855,QB,66.3829784409235,63.04347791824196,-3.339500522681533,20.0,12.0,152.0,2.0,1.0,59.99999700000015,7.599999620000019,11.0,6.0,6.0,54.545449586777316,00-0034855,The League Core,B.Mayfield
B.Purdy,00-0037834,548,374,5054.0,35,12,00-0037834,QB,72.80701722453063,59.398495793996275,-13.40852143053435,12.0,6.0,62.0,0.0,1.0,49.999995833333685,5.166666236111148,,,,,00-0037834,Elite Quarterbacks,B.Purdy
B.Rypien,00-0034955,38,18,172.0,0,1,00-0034955,QB,,,,,,,,,,,,,,,,,B.Rypien
B.Young,00-0039150,526,315,2877.0,15,10,00-0039150,QB,68.44919749492408,58.450703813727436,-9.998493681196642,10.0,5.0,61.0,0.0,0.0,49.9999950000005,6.099999390000061,28.0,15.0,13.0,46.428569770408224,00-0039150,The League Core,B.Young
B.Zappe,00-0038108,211,127,1272.0,7,9,00-0038108,QB,63.88888800154322,50.84745676529735,-13.04143123624587,13.0,8.0,70.0,0.0,1.0,61.538456804734096,5.384614970414233,7.0,2.0,2.0,28.5714244897965,00-0038108,Struggling & Backups,B.Zappe
C.Beathard,00-0033936,53,40,349.0,1,0,00-0033936,QB,,,,,,,,,,,,,,,00-0033936,Elite Quarterbacks,C.Beathard
C.Keenum,00-0028986,53,34,291.0,2,3,00-0028986,QB,,,,,,,,,,,,,,,00-0028986,Elite Quarterbacks,C.Keenum
C.Stroud,00-0039163,547,353,4557.0,26,5,00-0039163,QB,69.49152503112133,58.235293775086504,-11.256231256034823,14.0,12.0,182.0,2.0,0.0,85.71427959183717,12.999999071428638,8.0,3.0,3.0,37.49999531250059,00-0039163,Elite Quarterbacks,C.Stroud
D.Carr,00-0031280,548,375,3878.0,28,8,00-0031280,QB,75.55555513580248,58.70967704058273,-16.845878095219746,18.0,7.0,84.0,0.0,1.0,38.88888672839518,4.666666407407422,8.0,4.0,2.0,24.999996875000395,00-0031280,Elite Quarterbacks,D.Carr
D.Jones,00-0035710,160,108,909.0,4,6,00-0035710,QB,,,,,,,,,,,5.0,3.0,3.0,59.9999880000024,00-0035710,The League Core,D.Jones
